"Name","CtrlIndex","Method","Class","Superclass","Parameters"
"chooseContact","0x48","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/contact/n, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/contact/n>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"previewImage","0x1e","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/media/f5, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/media/f5>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""Val"":""String"",""EndTime"":""Long"",""SvrType"":""Int"",""StartTime"":""Long"",""BucketSrc"":""Long"",""GroupId"":""Int"",""urls"":""JSONArray"",""current"":"""",""ExptCheckSum"":""String"",""ExptType"":""Int"",""ExptSequence"":""Int"",""ExptId"":""Int"",""Key"":""String""}"
"getWxCommFont","0x4b7","< Application, Lhc/a, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lhc/a>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""path"":""String""}"
"cryptoRemoveKey","0x507","< Application, Lvs0/p, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lvs0/z>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""keyAlias"":""String""}"
"operateMediaContainer","0x2ae","< Application, Lju0/k, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lju0/o>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""operationType"":""String"",""mimeType"":""String"",""containerId"":""Int""}"
"openADCanvas","0x1dc","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/advertise/c, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/advertise/f>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""Val"":""String"",""canvasDynamicInfo"":""String"",""EndTime"":""Long"",""ExptCheckSum"":""String"",""SvrType"":""Int"",""ExptType"":""Int"",""StartTime"":""Long"",""BucketSrc"":""Long"",""ExptId"":""Int"",""ExptSequence"":""Int"",""Key"":""String"",""GroupId"":""Int""}"
"showMultiPickerView","0x101","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/picker/a, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/picker/a0>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""current"":""JSONArray"",""headerText"":""String"",""array"":""JSONArray""}"
"faceVerifyForPay","0x1ef","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/bio/face/h, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/bio/face/h>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""Val"":""String"",""faceVerifyTitle"":""String"",""package"":""String"",""EndTime"":""Long"",""SvrType"":""Int"",""StartTime"":""Long"",""BucketSrc"":""Long"",""GroupId"":""Int"",""packageSign"":""String"",""scene"":""Int"",""otherVerifyTitle"":""String"",""ExptCheckSum"":""String"",""ExptType"":""Int"",""otherVerifyTitleFront"":""String"",""needFrontPage"":""String"",""ExptSequence"":""Int"",""ExptId"":""Int"",""Key"":""String""}"
"joinGroup","0x36c","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/n3, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/n3>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""signature"":""String"",""groupId"":""String"",""nonceStr"":""String""}"
"showVirtualBottomNavigationBar","0x244","< Application, Lou0/h, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lou0/h>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
