Name,Return Type,Class Name,Method Name,Super Class,Number of Args,Original Class
isBluetoothDevicePaired,"<Primordial,V>","<Application,Lds0/n>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lds0/n>"
onTouchStart,,"<Application,Llv0/n>",,,0,"<Application,Llv0/n>"
chooseContact,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/contact/n>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/contact/n>"
awaitLoadSubPackageTask,,"<Application,Lkt0/a>",,,0,"<Application,Lkt0/a>"
operateTingAudio,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/j1>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/j1>"
showStatusBar,"<Primordial,V>","<Application,Lzt0/u>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lou0/f>"
stat,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/file/h>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/file/a0>"
canvasToTempFilePath,"<Primordial,V>","<Application,Lqs0/i>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lzv0/a>"
showSplashAd,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/ad/jsapi/u>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/ad/jsapi/u>"
openLocation,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/lbs/g0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/lbs/g0>"
pushNativeWebView,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/profile/p>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/profile/p>"
enterGameLiveRoom,"<Primordial,V>","<Application,Lat0/a>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lat0/a>"
pauseVoice,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/n1>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/n1>"
stopVoice,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/v2>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/v2>"
canvasToTempFilePathSync,,"<Application,Lhc/h>",,,0,"<Application,Lhc/h>"
impact,"<Primordial,V>","<Application,Lmu0/r0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lgb4/a>"
writeCommData,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/md>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/md>"
reportRealtimeAction,"<Primordial,V>","<Application,Lhu0/q>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lhu0/r>"
onCameraFrame,,"<Application,Los0/w>",,,0,"<Application,Los0/w>"
chooseImage,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/media/b2>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/media/b2>"
onNativePostData,,"<Application,Llt0/a>",,,0,"<Application,Llt0/a>"
